,text,likes,retweets,replies,Year,lemmatized,polarity,subjectivity,polarity_text
48727,"Nobody:
Princess Nokia: my little tiddies  your man loves my tiddies because they’re so little small tittiesmy titties are just so little",27,0,1,2019,nobody princess nokia my little tiddies your man love my tiddies because re so little small tittiesmy titty are just so little,-0.0625,0.5,negative
49160,"Mark's mad Monday question!

What's your mobile wallpaper?

The time I owned Peter Ustinov wannabe Will Self is mine

RT

#takedown
#nokia
#marksmadmondaypic.twitter.com/HGLWnrD59H",56,8,16,2019,mark mad monday question what your mobile wallpaper time owned peter ustinov wannabe will self mine rt takedown nokia marksmadmondaypic twitter com hglwnrd59h,-0.625,1.0,negative
49464,"Google's CEO is Indian
Nokia's CEO is Indian
Adobe's CEO is Indian
Amazon's BOD is Indian
MasterCard's CEO is Indian
Microsoft's CEO is Indian 
NASA has 58% Indian employees. India produces 400,000 engineers a year
In the next few years, India will be the World's IT hub pic.twitter.com/vRsXPHRjHC",27,6,7,2019,google ceo indian nokia ceo indian adobe ceo indian amazon bod indian mastercard ceo indian microsoft ceo indian nasa ha 58 indian employee india produce 400 000 engineer year next few year india will be world hub pic twitter com vrsxphrjhc,-0.1,0.05,negative
49574,"Maria Varsellona speaking at #IPBCGlobal 2019: @nokia spent 4.6 billion Euros on R&D last year, and 130 billion Euros on R&D over last 10 years, and has declared 1,500 patent families that are essential for #5Gpic.twitter.com/9zGL2mEjw0",21,4,0,2019,maria varsellona speaking at ipbcglobal 2019 nokia spent 4 6 billion euro r d last year 130 billion euro r d over last 10 year ha declared 1 500 patent family that are essential 5gpic twitter com 9zgl2mejw0,-0.025,0.13333333333333333,negative
49934,Just got a 'trade-in' at work.. the infamous Nokia walkie. This phone is 1 year younger than myself. pic.twitter.com/U92AcN4AeU,40,1,4,2019,just got trade at work infamous nokia walkie this phone 1 year younger than myself pic twitter com u92acn4aeu,-0.25,0.5,negative
50132,"Google's CEO is Indian
Nokia's CEO is Indian
Adobe's CEO is Indian
Amazon's BOD is Indian
MasterCard's CEO is Indian
Microsoft's CEO is Indian 

In next few years, India will be World's IT hub. While we are teaching children that X people are kaafirs X thing is haram ",196,35,25,2019,google ceo indian nokia ceo indian adobe ceo indian amazon bod indian mastercard ceo indian microsoft ceo indian next few year india will be world hub while we are teaching child that people are kaafirs thing haram,-0.1,0.05,negative
50691,"Nobody:...

Snake game in Nokia phone  https://twitter.com/Dammiedammie_/status/1211167024912781312 …",629,172,13,2020,nobody snake game nokia phone twitter com dammiedammie_ status 1211167024912781312,-0.4,0.4,negative
50789,"if u  experienced using nokia phones (colored) you probably only game snake xenxia(?), bounce and sudoku. snake was fun but after a period of time it gets boring, if u know the cheat with bounce its fun but actually no thrill so u're left with sudoku and thought urself to play it",267,32,23,2020,if experienced using nokia phone colored you probably only game snake xenxia bounce sudoku snake wa fun but after period time get boring if know cheat with bounce it fun but actually no thrill so re left with sudoku thought urself play,-6.938893903907228e-18,0.47500000000000003,negative
50893,Amazed ? You should be ...This picture waa shot on #Nokia 7.2 in #Venice with slight colour correction #nokiamobile #nokia7plus @NokiaMobilepic.twitter.com/8MploOmUXA,22,3,2,2020,amazed you should be this picture waa shot nokia 7 2 venice with slight colour correction nokiamobile nokia7plus nokiamobilepic twitter com 8mploomuxa,-0.16666666666666666,0.16666666666666666,negative
50899,Quality Jenlisa moments being taken with Nokia quality phones. It’s almost cruel.,21,3,0,2020,quality jenlisa moment being taken with nokia quality phone almost cruel,-1.0,1.0,negative
51315,"goddamn i love him w my entire soul, but is that a fucking nokia https://twitter.com/indierocklouist/status/1200408426913812480 …",34,6,3,2019,goddamn love him my entire soul but that fucking nokia twitter com indierocklouist status 1200408426913812480,-0.033333333333333326,0.6750000000000002,negative
51817,I miss my Nokia phone. I can smash it when I’m angry and still can use it afterwards,45,3,3,2019,miss my nokia phone can smash when m angry can use afterwards,-0.5,1.0,negative
51959,"There was a soldier there that was already half dead. He knew he would die eventually and instead of him ""reciting silently"", the pain was too much so he was ""singing aloud"" national anthem, so loud Adolf Hitler heard, hence the Nokia 3310 effect",32,4,3,2019,there wa soldier there that wa already half dead he knew he would die eventually instead him reciting silently pain wa too much so he wa singing aloud national anthem so loud adolf hitler heard hence nokia 3310 effect,-0.013333333333333336,0.33333333333333337,negative
52003,dead doesn't make a difference.... that is closer then a copy of Huawei... who btw hasn't released a round camera as of yet... also... Nokia did it well before that,38,1,1,2019,dead doesn t make difference that closer then copy huawei who btw hasn t released round camera a yet also nokia did well before that,-0.2,0.4,negative
52047,"Nokia 7.2, 6.2, 2720 Flip, 800 Tough & 110 2019 pre-order opens in Russia https://nokiapoweruser.com/nokia-7-2-6-2-2720-flip-800-tough-110-2019-pre-order-opens-in-russia/ …pic.twitter.com/DdYHvg2eGy",20,2,0,2019,nokia 7 2 6 2 2720 flip 800 tough 110 2019 pre order open russia nokiapoweruser com nokia 7 2 6 2 2720 flip 800 tough 110 2019 pre order open russia pic twitter com ddyhvg2egy,-0.19444444444444445,0.6666666666666667,negative
52819,"Nokia is leading the update game with 96% of its phones running Android Pie

For comparison, just 16% of LG phones have Pie 


https://www.androidcentral.com/nokia-leads-pack-android-updates-96-running-android-pie?utm_source=ac_tw&utm_medium=tw_card&utm_content=79159&utm_campaign=social …",310,42,11,2019,nokia leading update game with 96 it phone running android pie comparison just 16 lg phone have pie androidcentral com nokia lead pack android update 96 running android pie utm_source ac_tw utm_medium tw_card utm_content 79159 utm_campaign social,-0.18333333333333335,0.23333333333333334,negative
53042,The entire plot of death stranding is the excuse I'm going to use when my estranged children track me down in 18 years. I was delivering a carton of Newports to the first black female president or some shit like. I WAS CONNECTING PEOPLE LIKE NOKIA NIGGUH,23,2,2,2019,entire plot death stranding excuse m going use when my estranged child track me down 18 year wa delivering carton newport first black female president or some shit like wa connecting people like nokia nigguh,-0.04603174603174604,0.38531746031746034,negative
53073,"How many phones have you used so far ?
 what are the brands of phones you used in chronological order?  

Me : Multilinks 
         Nokia
         Samsung
          Infinix. X 2 
          Injoo .. very stupid phone 
          Infinix  X 2

Let's know yours. !",24,1,8,2019,how many phone have you used so far what are brand phone you used chronological order me multilinks nokia samsung infinix 2 injoo very stupid phone infinix 2 let know yours,-0.1,0.625,negative
53096,"Did You Know: The Elder Scrolls Travels: Shadowkey was released on 11/11/04, making it Shadowkey's fifteenth release anniversary today? Sadly, Shadowkey was only released on the infamously unsuccessful Nokia N-Gage, dooming the game to relative obscurity. pic.twitter.com/OjYzraNMuU",190,25,9,2019,did you know elder scroll travel shadowkey wa released 11 11 04 making shadowkey fifteenth release anniversary today sadly shadowkey wa only released infamously unsuccessful nokia n gage dooming game relative obscurity pic twitter com ojyzranmuu,-0.27999999999999997,0.6799999999999999,negative
53399,Nokia8.1 in artificial lighting condition #ProMode #ShotOnNokia @sarvikas @mehta_ajey @NokiaMobile @NokiamobileIN @nokia @ZEISSLenses @NokiaFanss @Nokiapoweruserpic.twitter.com/9rBEu1tgZl,64,3,1,2019,nokia8 1 artificial lighting condition promode shotonnokia sarvikas mehta_ajey nokiamobile nokiamobilein nokia zeisslenses nokiafanss nokiapoweruserpic twitter com 9rbeu1tgzl,-0.6,1.0,negative
53586,Unknown Nokia TA-1208 passed the BT certification https://nokiamob.net/2019/11/11/unknown-nokia-ta-1208-passed-the-bt-certification/ …pic.twitter.com/RXA5NlOOpZ,32,2,2,2019,unknown nokia ta 1208 passed bt certification nokiamob net 2019 11 11 unknown nokia ta 1208 passed bt certification pic twitter com rxa5nloopz,-0.06666666666666667,0.39999999999999997,negative
53626,"What a colourful world. 
Ultra Wide Angle Shot via Nokia 7.2

#Nokia7 #ShotOnNokia #kualalumpur #instaMalaysia @sarvikas @NokiaMobilepic.twitter.com/HPQCI8Z5aY",111,7,0,2019,what colourful world ultra wide angle shot nokia 7 2 nokia7 shotonnokia kualalumpur instamalaysia sarvikas nokiamobilepic twitter com hpqci8z5ay,-0.1,0.4,negative
53705,Nokia 800 rough we shall find out if it is.... pic.twitter.com/ARO9SAFspJ,26,1,2,2019,nokia 800 rough we shall find out if pic twitter com aro9safspj,-0.1,0.4,negative
53858,My short-lived experiment with the Nokia 3310 is over. Brought to a savage end by my bastard dog. Left it on the armchair for a minute. Scum. Sub-human scum. pic.twitter.com/iH9cK9ZI7S,53,0,5,2019,my short lived experiment with nokia 3310 over brought savage end by my bastard dog left armchair minute scum sub human scum pic twitter com ih9ck9zi7s,-0.12,0.24,negative
53895,In depth look at the Nokia 800 tough. #Nokia #Nokia800Tough http://techbuzzireland.com/2019/10/23/in-depth-look-at-the-nokia-800-tough-nokia-nokia800tough/ …pic.twitter.com/9I32ZQL1Mj,20,3,3,2019,depth look at nokia 800 tough nokia nokia800tough techbuzzireland com 2019 10 23 depth look at nokia 800 tough nokia nokia800tough pic twitter com 9i32zql1mj,-0.3888888888888889,0.8333333333333334,negative
53908,"Which phone do you think President Buhari is using? 

1. iPhone
2. Samsung 
3. Huawei 
4. Nokia
5. Infinix
6. I don't give two fucks",64,11,23,2019,which phone do you president buhari using 1 iphone 2 samsung 3 huawei 4 nokia 5 infinix 6 don t give two fuck,-0.4,0.6,negative
53966,"Taken on the Nokia 7.2 slight edits in contrast and brightness and in a LITTLE in saturation. 

#Nokia72 #Nokia pic.twitter.com/CcZEfXdAxq",41,7,3,2019,taken nokia 7 2 slight edits contrast brightness little saturation nokia72 nokia pic twitter com cczefxdaxq,-0.17708333333333331,0.3333333333333333,negative
54162,"Some Corporates that failed to innovate

1 Kodak
2 Nokia
3 Xerox
4 Blockbuster
5 Yahoo
6 Segway
7 IBM
8 JCPenney
9 Tie Rack
10 BlackBerry Motion
11 MySpace
12 Commodore Corps
13 Sears
14 Macy's
15 Hitachi
16 Polaroid
17 Toshiba
18 RadioShack
19 Motorola
20 Borders

(Valuer)",49,47,2,2019,some corporates that failed innovate 1 kodak 2 nokia 3 xerox 4 blockbuster 5 yahoo 6 segway 7 ibm 8 jcpenney 9 tie rack 10 blackberry motion 11 myspace 12 commodore corp 13 sears 14 macy 15 hitachi 16 polaroid 17 toshiba 18 radioshack 19 motorola 20 border valuer,-0.5,0.3,negative
54879,HERE partners with Nokia to make base station instalment easier for operators https://nokiamob.net/2020/02/29/here-partners-with-nokia-to-make-base-station-instalment-easier-for-operators/ …pic.twitter.com/OM9KPbCyWN,53,8,3,2020,here partner with nokia make base station instalment easier operator nokiamob net 2020 02 29 here partner with nokia make base station instalment easier operator pic twitter com om9kpbcywn,-0.5333333333333333,0.6666666666666666,negative
54894,"""Duterte’s foul attacks on big companies like ABS-CBN & Maynilad perversely signal that laws, regulations & contracts in the Philippines are malleable & that government can change the rules of the game on a whim""
Why Nokia, Wells Fargo & Honda are leaving https://www.rappler.com/thought-leaders/252816-analysis-why-nokia-wells-fargo-honda-leaving-philippines …",493,189,15,2020,duterte foul attack big company like ab cbn maynilad perversely signal that law regulation contract philippine are malleable that government can change rule game whim why nokia well fargo honda are leaving rappler com thought leader 252816 analysis why nokia well fargo honda leaving philippine,-0.2,0.25,negative
